Year,Score,Ticker
2023,0.0,AAPL
2022,0.0,AAPL
2021,0.0,AAPL
2024,7.6,MSFT
2023,0.0,MSFT
2022,0.0,MSFT
2023,8.4,AMZN
2022,0.0,AMZN
2021,0.0,AMZN
2020,0.0,AMZN
2023,0.0,GOOG
2022,0.0,GOOG
2021,7.9,GOOG
2020,0.0,GOOG
2023,0.0,GOOGL
2022,0.0,GOOGL
2021,0.0,GOOGL
2020,0.0,GOOGL
2023,0.0,META
2022,0.0,META
2021,0.0,META
2020,0.0,META
2023,0.0,TSLA
2022,0.0,TSLA
2021,0.0,TSLA
2020,0.0,TSLA
2023,0.0,JPM
2022,6.4,JPM
2021,0.0,JPM
2020,0.0,JPM
2023,0.0,V
2022,0.0,V
2021,0.0,V
2020,0.0,V
